country,location,lat,lon,seroprev,aegypti,albopictus,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,gdp_pcppp2005,GDP_Source,Link
Nicaragua,Managua,12.138889,-86.236667,0.039,0.82007,0.54024,26.4,27.2,28.3,29.1,28.9,27.3,27.3,27.3,27,26.6,26.4,26.1,2258.1,GECon_40,http://gecon.yale.edu/
Carribean,Saint Martin,18.057778,-63.052222,0.169,0.88395,0.10305,24.6,24.7,25.2,25.8,26.7,27.4,27.6,27.6,27.6,27.3,26.4,25.2,19300,CIA WFB,http://www.indexmundi.com/g/g.aspx?v=67&c=re&l=en
Italy,Emilia Romagna,44.543056,11.177778,0.103,0.15527,0.96568,2.5,4.9,8.8,13.1,17.6,21.7,24.3,23.9,20.3,14.9,9.6,3.7,34150.7,GECon_40,http://gecon.yale.edu/
Madagascar,Mananjary,-21.23,48.336111,0.446,0.58082,0.73709,26.1,26,25.4,24.4,22.3,20.7,19.9,19.9,20.7,22.3,24.3,25.3,783.3,GECon_40,http://gecon.yale.edu/
Madagascar,Manakara,-22.147778,47.997222,0.227,0.72831,0.89906,26,25.9,25.3,24.2,22,20.5,19.8,19.9,20.8,22.3,23.8,25.1,766.3,GECon_40,http://gecon.yale.edu/
Madagascar,Ifanadiana,-21.304167,47.636111,0.01,0.16216,0.32586,24,23.9,23.3,22.2,19.8,18.1,17.1,17.7,18.9,21.2,23,23.8,749.1,GECon_40,http://gecon.yale.edu/
Madagascar,Moramanga,-18.948333,48.224167,0.031,0.55706,0.89272,22.3,22.5,21.8,20.7,18.4,16.6,15.4,15.7,16.9,19.2,21.2,22,704.9,GECon_40,http://gecon.yale.edu/
Madagascar,Tsiroanomandidy,-18.768611,46.049444,0,0.84701,0.66779,24.3,24.2,24.2,23.6,21.9,19.8,19.2,20.8,22.4,24,24.4,24.4,924.2,GECon_40,http://gecon.yale.edu/
Madagascar,Ambositra,-20.531667,47.245,0.011,0.25889,0.90409,19.5,19.4,19,17.7,15.5,13.6,12.7,13,14.9,17.4,18.9,19.4,779.6,GECon_40,http://gecon.yale.edu/
Kenya,Lamu Island,-2.265,40.853611,0.75,0.81126,0.7216,27.1,27.4,28.2,28.1,26.8,26.1,25.4,25.4,25.9,26.6,27.3,27.3,745.1,GECon_40,http://gecon.yale.edu/
Comoros,Mayotte,-12.816667,45.15,0.26,0.45779,0.49777,25.9,26.2,26.4,26.4,25.2,23.8,22.8,22.9,23.7,24.9,26,26.4,887.5,GECon_40,http://gecon.yale.edu/
Micronesia,Yap Island,9.546666667,138.1333333,0.73,0.69039,0.94386,26.8,26.9,27.1,27.5,27.6,27.3,27.1,27.2,27.3,27.3,27.3,27.1,2691.3,GECon_40,http://gecon.yale.edu/
India,Orissa,20.94638889,85.20638889,0.24,0.86005,0.46749,20.8,23.4,27.8,31.8,33.5,31.4,28.4,28.3,28.5,26.9,23.2,20.3,1300.2,GECon_40,http://gecon.yale.edu/